side,entry_time,entry_price,exit_time,exit_price,pnl_pts,pnl_pct,exit_reason,result
LONG,2026-04-16 09:40:00+05:30,24301.95,2026-04-16 09:55:00+05:30,24271.55,-30.4,-0.125,e1_below_st_atr|e2_two_bar|e3_psar|e4_ema,LOSS
LONG,2026-04-17 09:20:00+05:30,24196.9,2026-04-17 09:40:00+05:30,24191.35,-5.55,-0.023,e4_ema,LOSS
LONG,2026-05-04 10:10:00+05:30,24175.2,2026-05-04 10:20:00+05:30,24151.4,-23.8,-0.098,e4_ema,LOSS
LONG,2026-05-07 12:55:00+05:30,24388.25,2026-05-07 13:10:00+05:30,24389.7,1.45,0.006,e3_psar,PROFIT
SHORT,2026-05-15 15:00:00+05:30,23674.2,2026-05-15 15:05:00+05:30,23647.85,26.35,0.111,e3_psar,PROFIT
LONG,2026-05-19 09:30:00+05:30,23684.0,2026-05-19 10:50:00+05:30,23742.1,58.1,0.245,e3_psar,PROFIT
SHORT,2026-05-27 09:15:00+05:30,23926.0,2026-05-27 09:20:00+05:30,23933.7,-7.7,-0.032,e3_psar|e4_ema,LOSS
