timestamp,open,high,low,close,st,st_dir,ema21,psar,atr,rsi,prev_mid,signal,position,c1_below_st,c2_not_over,c3_psar,c4_ema,c5_rsi
2026-05-29 09:15:00+05:30,23902.15,24002.8,23902.0,23963.3,23873.84,UP,23908.28,23872.17,24.03,68.02,23920.62,-,FLAT,False,True,False,False,False
2026-05-29 09:20:00+05:30,23962.05,23976.15,23932.4,23933.1,23873.84,UP,23910.53,23882.62,25.44,56.79,23952.4,-,FLAT,False,True,False,False,False
2026-05-29 09:25:00+05:30,23932.3,23938.35,23889.15,23893.4,23873.84,UP,23908.98,24002.8,27.13,46.04,23954.28,-,FLAT,False,True,True,True,True
2026-05-29 09:30:00+05:30,23892.2,23915.55,23885.4,23898.1,23873.84,UP,23907.99,24000.53,27.35,47.31,23913.75,-,FLAT,False,True,True,True,True
2026-05-29 09:35:00+05:30,23898.65,23933.85,23898.3,23922.65,23873.84,UP,23909.32,23995.92,27.95,53.48,23900.47,-,FLAT,False,True,True,False,False
2026-05-29 09:40:00+05:30,23923.4,23933.0,23872.6,23875.75,23873.84,UP,23906.27,23991.5,30.27,43.1,23916.07,-,FLAT,False,True,True,True,True
2026-05-29 09:45:00+05:30,23875.8,23913.6,23871.1,23912.0,23873.84,UP,23906.79,23984.37,31.14,51.01,23902.8,-,FLAT,False,True,True,False,False
2026-05-29 09:50:00+05:30,23911.2,23922.8,23903.05,23904.05,23873.84,UP,23906.54,23975.31,30.33,49.39,23892.35,-,FLAT,False,True,True,True,True
2026-05-29 09:55:00+05:30,23903.85,23907.7,23887.4,23907.45,23873.84,UP,23906.62,23966.97,29.61,50.12,23912.92,-,FLAT,False,True,True,False,False
2026-05-29 10:00:00+05:30,23907.45,23931.35,23894.75,23928.45,23873.84,UP,23908.61,23959.3,30.11,54.49,23897.55,-,FLAT,False,True,True,False,False
2026-05-29 10:05:00+05:30,23928.2,23954.5,23928.1,23943.2,23873.84,UP,23911.75,23871.1,29.85,57.32,23913.05,-,FLAT,False,True,False,False,False
2026-05-29 10:10:00+05:30,23942.5,23950.15,23933.4,23945.7,23873.84,UP,23914.84,23872.77,28.91,57.8,23941.3,-,FLAT,False,True,False,False,False
2026-05-29 10:15:00+05:30,23946.1,23951.9,23931.45,23933.95,23873.84,UP,23916.58,23874.4,28.31,54.69,23941.78,-,FLAT,False,True,False,False,False
2026-05-29 10:20:00+05:30,23934.4,23947.35,23929.6,23936.9,23873.84,UP,23918.42,23876.0,27.55,55.34,23941.68,-,FLAT,False,True,False,False,False
2026-05-29 10:25:00+05:30,23936.95,23941.55,23908.95,23911.65,23873.84,UP,23917.81,23877.57,27.91,48.89,23938.47,-,FLAT,False,True,False,True,True
2026-05-29 10:30:00+05:30,23911.2,23920.65,23902.4,23918.95,23873.84,UP,23917.91,23879.11,27.22,50.68,23925.25,-,FLAT,False,True,False,False,False
